,Major,Year,Term,Course Code,Course Name,Hours
0,Computer Science + Astronomy,First Year,First Semester,,ELECTIVE,1
1,Computer Science + Astronomy,First Year,Second Semester,CS 128,CS 128,3
2,Computer Science + Astronomy,First Year,First Semester,CS 100,CS 100,1
3,Computer Science + Astronomy,First Year,Second Semester,CS 173,CS 173,3
4,Computer Science + Astronomy,First Year,First Semester,CS 124,CS 124,3
5,Computer Science + Astronomy,First Year,Second Semester,MATH 231,MATH 231,3
6,Computer Science + Astronomy,First Year,First Semester,MATH 220,MATH 220,5
7,Computer Science + Astronomy,First Year,Second Semester,PHYS 211,PHYS 211,4
8,Computer Science + Astronomy,First Year,First Semester,,GENED,4
9,Computer Science + Astronomy,First Year,Second Semester,,GENED,3
10,Computer Science + Astronomy,Second Year,First Semester,ASTR 210,ASTR 210,3
11,Computer Science + Astronomy,Second Year,Second Semester,CS 340,CS 340,3
12,Computer Science + Astronomy,Second Year,First Semester,CS 222,CS 222,1
13,Computer Science + Astronomy,Second Year,Second Semester,MATH 241,MATH 241,4
14,Computer Science + Astronomy,Second Year,First Semester,CS 225,CS 225,4
15,Computer Science + Astronomy,Second Year,Second Semester,PHYS 212,PHYS 212,4
16,Computer Science + Astronomy,Second Year,First Semester,MATH 257,MATH 257,3
17,Computer Science + Astronomy,Second Year,Second Semester,,GENED,4
18,Computer Science + Astronomy,Second Year,First Semester,,GENED,4
19,Computer Science + Astronomy,Third Year,First Semester,ASTR 310,ASTR 310,3
20,Computer Science + Astronomy,Third Year,Second Semester,ASTR 404,ASTR 404,3
21,Computer Science + Astronomy,Third Year,First Semester,CS 361,CS 361,3
22,Computer Science + Astronomy,Third Year,Second Semester,CS 421,CS 421,3
23,Computer Science + Astronomy,Third Year,First Semester,CS 374,CS 374,4
24,Computer Science + Astronomy,Third Year,Second Semester,,GENED,3
25,Computer Science + Astronomy,Third Year,First Semester,,GENED,3
26,Computer Science + Astronomy,Third Year,Second Semester,,GENED,3
27,Computer Science + Astronomy,Third Year,First Semester,,GENED,3
28,Computer Science + Astronomy,Third Year,Second Semester,,ELECTIVE,3
29,Computer Science + Astronomy,Fourth Year,First Semester,ASTR 404,ASTR 404,3
30,Computer Science + Astronomy,Fourth Year,Second Semester,,ASTR,3
31,Computer Science + Astronomy,Fourth Year,First Semester,,CS,3
32,Computer Science + Astronomy,Fourth Year,Second Semester,,CS,3
33,Computer Science + Astronomy,Fourth Year,First Semester,,GENED,3
34,Computer Science + Astronomy,Fourth Year,Second Semester,,GENED,3
35,Computer Science + Astronomy,Fourth Year,First Semester,,GENED,3
36,Computer Science + Astronomy,Fourth Year,Second Semester,,ELECTIVE,3
37,Computer Science + Astronomy,Fourth Year,First Semester,,ELECTIVE,3
38,Computer Science + Astronomy,Fourth Year,Second Semester,,ELECTIVE,2
