Major,Year,Term,Course Name
Electrical Engineering,First Year,First Semester,ECE 110
Electrical Engineering,First Year,Second Semester,ECE 120
Electrical Engineering,First Year,First Semester,MATH 221
Electrical Engineering,First Year,Second Semester,MATH 231
Electrical Engineering,First Year,First Semester,CHEM 102
Electrical Engineering,First Year,Second Semester,PHYS 211
Electrical Engineering,First Year,First Semester,CHEM 103
Electrical Engineering,First Year,Second Semester,ELECTIVE
Electrical Engineering,First Year,First Semester,ENG 100
Electrical Engineering,First Year,Second Semester,HUM
Electrical Engineering,First Year,First Semester,SOC
Electrical Engineering,Second Year,First Semester,ECE 220
Electrical Engineering,Second Year,Second Semester,ECE 210
Electrical Engineering,Second Year,First Semester,MATH 241
Electrical Engineering,Second Year,Second Semester,MATH 285
Electrical Engineering,Second Year,First Semester,PHYS 212
Electrical Engineering,Second Year,Second Semester,PHYS 213
Electrical Engineering,Second Year,First Semester,MATH 257
Electrical Engineering,Second Year,Second Semester,PHYS 214
Electrical Engineering,Second Year,First Semester,GENED
Electrical Engineering,Second Year,Second Semester,GENED
Electrical Engineering,Third Year,First Semester,ECE 329
Electrical Engineering,Third Year,Second Semester,ECE 313
Electrical Engineering,Third Year,First Semester,ECE 385
Electrical Engineering,Third Year,Second Semester,ECE 340
Electrical Engineering,Third Year,First Semester,ECE_ELECTIVE
Electrical Engineering,Third Year,Second Semester,ECE_ELECTIVE
Electrical Engineering,Third Year,First Semester,ECE_ELECTIVE
Electrical Engineering,Third Year,Second Semester,ECE_ELECTIVE
Electrical Engineering,Third Year,First Semester,GENED
Electrical Engineering,Third Year,Second Semester,ELECTIVE
Electrical Engineering,Fourth Year,First Semester,ECE_ELECTIVE
Electrical Engineering,Fourth Year,Second Semester,ECE 445
Electrical Engineering,Fourth Year,First Semester,ECE_ELECTIVE
Electrical Engineering,Fourth Year,Second Semester,ECE_ELECTIVE
Electrical Engineering,Fourth Year,First Semester,ECE_ELECTIVE
Electrical Engineering,Fourth Year,Second Semester,ECE_ELECTIVE
Electrical Engineering,Fourth Year,First Semester,ELECTIVE
Electrical Engineering,Fourth Year,Second Semester,ELECTIVE
Electrical Engineering,Fourth Year,First Semester,GENED
