Major,Year,Term,Course Code,Course Name,Hours
Accountancy,First Year,First Semester,BUS 101,BUS 101,3
Accountancy,First Year,Second Semester,ECON 103,ECON 103,3
Accountancy,First Year,First Semester,ECON 102,ECON 102,3
Accountancy,First Year,Second Semester,CS 105,CS 105,3
Accountancy,First Year,First Semester,CMN 101,CMN 101,3
Accountancy,First Year,Second Semester,FIN 221,FIN 221,3
Accountancy,First Year,First Semester,,Language Other Than English (3rd Level),4
Accountancy,First Year,Second Semester,,Composition I or CMN 101,4
Accountancy,First Year,First Semester,,General Education course,3
Accountancy,First Year,Second Semester,,Business Core Math course,3
Accountancy,Second Year,First Semester,ACCY 201,ACCY 201,3
Accountancy,Second Year,Second Semester,ACCY 202,ACCY 202,3
Accountancy,Second Year,First Semester,BUS 201,BUS 201,3
Accountancy,Second Year,Second Semester,BADM 211,BADM 211,3
Accountancy,Second Year,First Semester,BADM 210,BADM 210,3
Accountancy,Second Year,Second Semester,BADM 275,BADM 275,3
Accountancy,Second Year,First Semester,,General Education course,3
Accountancy,Second Year,Second Semester,,General Education course,3
Accountancy,Second Year,First Semester,,General Education course,4
Accountancy,Second Year,Second Semester,,General Education course,3
Accountancy,Third Year,First Semester,ACCY 301,ACCY 301,3
Accountancy,Third Year,Second Semester,ACCY 303,ACCY 303,3
Accountancy,Third Year,First Semester,ACCY 302,ACCY 302,3
Accountancy,Third Year,Second Semester,ACCY 304,ACCY 304,3
Accountancy,Third Year,First Semester,BUS 301,BUS 301,3
Accountancy,Third Year,Second Semester,ACCY 312,ACCY 312,3
Accountancy,Third Year,First Semester,BADM 310,BADM 310,3
Accountancy,Third Year,Second Semester,BADM 320,BADM 320,3
Accountancy,Third Year,First Semester,,General Education course,4
Accountancy,Third Year,Second Semester,,General Education course,3
Accountancy,Fourth Year,First Semester,ACCY 405,ACCY 405,3
Accountancy,Fourth Year,Second Semester,ACCY 410,ACCY 410,3
Accountancy,Fourth Year,First Semester,BADM 300,BADM 300,3
